Host,HostTaxID
abramis brama,38527
abrothrix longipilis,29094
acanthis flammea,54769
acanthopagrus latus,8177
acanthopagrus schlegelii,72011
acanthophis antarcticus,8605
acanthorhynchus tenuirostris,266336
acanthurus bariene,670521
acanthurus dussumieri,238051
acanthurus triostegus,175435
accipiter cooperii,261198
accipiter gentilis,8957
accipiter gularis,258530
accipiter nisus,211598
accipiter striatus,56330
accipiter trivirgatus,210844
acerodon celebensis,58057
acheilognathus macropterus,80791
acinonyx jubatus,32536
acipenser baerii,27689
acipenser brevirostrum,7907
acipenser gueldenstaedtii,7902
acipenser naccarii,42330
acipenser ruthenus,7906
acipenser stellatus,7903
acipenser transmontanus,7904
acomys cahirinus,10068
acomys dimidiatus,60744
acomys subspinosus,81631
acomys wilsoni,37436
acrantophis dumerili,51850
acridotheres cristatellus,451382
acridotheres tristis,279927
acrocephalus dumetorum,68474
acrocephalus schoenobaenus,52609
acrocephalus scirpaceus,48156
acropoma japonicum,2233869
actitis macularius,190659
aechmophorus occidentalis,57236
aegithalos caudatus,73327
aegypius monachus,8959
aeorestes cinereus,257879
aepyceros melampus,9897
aesopia cornuta,215406
aethomys chrysophilus,121561
aethomys ineptus,284517
afronycteris nana,568927
agama agama,103336
agamia agami,706245
agapornis fischeri,60463
agapornis nigrigenis,60465
agapornis personatus,60466
agapornis roseicollis,60468
agelaius phoeniceus,39638
agropsar sturninus,2675479
ailuropoda melanoleuca,9646
ailurus fulgens,9649
aix galericulata,8832
aix sponsa,8833
akodon azarae,29095
akodon cursor,29096
akodon montensis,106112
akodon paranaensis,230113
akodon serrensis,106114
akodon simulator,484371
alcelaphus buselaphus,59517
alces alces,9852
alces americanus,999462
alectoris chukar,9078
alectoris graeca,40178
alectoris rufa,9079
alisterus amboinensis,309870
alisterus scapularis,458117
allenopithecus nigroviridis,54135
allochrocebus lhoesti,100224
allochrocebus preussi,147649
allochrocebus solatus,147650
allocricetulus eversmanni,329634
alopochen aegyptiaca,30382
alouatta belzebul,30590
alouatta caraya,9502
alouatta guariba,182256
alouatta macconnelli,198115
alouatta palliata,30589
alouatta pigra,182253
alouatta sara,121123
alouatta seniculus,9503
alytes obstetricans,8443
amandava amandava,247729
amaurornis phoenicurus,261959
amazona aestiva,12930
amazona albifrons,241569
amazona amazonica,151758
amazona arausiaca,241563
amazona auropalliata,152277
amazona autumnalis,151759
amazona barbadensis,229553
amazona brasiliensis,244070
amazona farinosa,151760
amazona festiva,244075
amazona leucocephala,241562
amazona ochrocephala,151761
amazona oratrix,152276
amazona rhodocorytha,244082
amazona ventralis,57393
amazona vinacea,244084
amazona viridigenalis,229552
amazona xantholora,1209394
ambassis marianus,498364
ambloplites rupestris,109273
amblygaster clupeoides,392305
amblygaster leiogaster,1411162
ambystoma maculatum,43114
ambystoma mavortium,2511205
ambystoma mexicanum,8296
ambystoma opacum,43115
ambystoma tigrinum,8305
ameiurus melas,219545
ameiurus nebulosus,27778
ameiva ameiva,8535
ammodytes personatus,215382
ammotragus lervia,9899
amphiprion ocellaris,80972
amphiprion percula,161767
amphiprion sebae,229075
anabas testudineus,64144
anarhichas lupus,8204
anas acuta,28680
anas bahamensis,75834
anas capensis,8837
anas carolinensis,75836
anas castanea,45631
anas crecca,75839
anas cyanoptera,75840
anas diazi,75841
anas erythrorhyncha,75843
anas flavirostris,75845
anas fulvigula,75846
anas georgica,75847
anas gracilis,45630
anas melleri,75852
anas platalea,75853
anas platyrhynchos,8839
anas poecilorhyncha,75854
anas puna,75855
anas querquedula,75856
anas rubripes,75857
anas smithii,75859
anas superciliosa,45632
anas undulata,75862
anas versicolor,75863
anastomus oscitans,1706835
anaxyrus boreas,30325
andrias davidianus,141262
anguilla anguilla,7936
anguilla australis,7940
anguilla japonica,7937
anguilla marmorata,7939
anguilla rostrata,7938
anodorhynchus hyacinthinus,51900
anodorhynchus leari,178882
anolis allogus,141892
anolis carolinensis,28377
anolis distichus,38893
anolis sagrei,38937
anoura caudifer,27642
anoura geoffroyi,148021
anourosorex squamipes,127560
anourosorex yamashinai,268756
anous tenuirostris,297803
anser albifrons,50365
anser anser,8843
anser brachyrhynchus,132585
anser caerulescens,8849
anser canagicus,107021
anser cygnoides,8845
anser erythropus,132586
anser fabalis,132587
anser indicus,8846
antaresia maculosa,51891
antaresia perthensis,461324
antaresia stimsoni,461325
antennarius striatus,241820
anthochaera chrysoptera,266367
anthus berthelotii,45798
anthus rufulus,1463608
antidorcas marsupialis,59523
antigone canadensis,1977160
antigone vipio,2717088
antilocapra americana,9891
antilope cervicapra,59525
antrostomus carolinensis,279965
antrozous dubiaquercus,249033
antrozous pallidus,9440
aonyx cinereus,452597
aotus azarai,30591
aotus griseimembra,292213
aotus nancymaae,37293
aotus trivirgatus,9505
aotus vociferans,57176
aphelocoma californica,142466
aplodinotus grunniens,225389
apodemus agrarius,39030
apodemus chejuensis,754351
apodemus chevrieri,129246
apodemus draco,129247
apodemus flavicollis,54292
apodemus ilex,256595
apodemus latronum,214933
apodemus peninsulae,105297
apodemus ponticus,134909
apodemus speciosus,105296
apodemus sylvaticus,10129
apodemus uralensis,134910
aprosmictus erythropterus,274068
aptenodytes patagonicus,9234
apteryx rowi,308060
aquila adalberti,52408
aquila audax,8961
aquila chrysaetos,8962
aquila fasciata,252784
aquila heliaca,52410
ara ambiguus,467031
ara ararauna,9226
ara chloropterus,176013
ara glaucogularis,303304
ara macao,176014
ara militaris,57237
ara rubrogenys,467030
ara severus,178883
aratinga jandaya,231027
aratinga nenday,51908
aratinga solstitialis,176015
arctocephalus australis,161928
arctocephalus forsteri,29084
arctocephalus gazella,37190
arctocephalus tropicalis,37194
ardea alba,110620
ardea cinerea,30390
ardea herodias,56072
ardenna carneipes,1934105
ardenna pacifica,48683
ardeola bacchus,188375
ardeola grayii,1158920
arenaria interpres,54971
arenaria melanocephala,279931
argentina silus,446415
argentina sphyraena,442169
argyrosomus regius,172269
arremon taciturnus,1109026
artibeus fimbriatus,51010
artibeus glaucus,40226
artibeus jamaicensis,9417
artibeus lituratus,27634
artibeus obscurus,40228
artibeus phaeotis,40229
artibeus planirostris,40230
arundinax aedon,68478
arvicanthis niloticus,61156
arvicola amphibius,1047088
aselliscus stoliczkanus,188568
asio flammeus,56267
asio otus,111810
aspidites melanocephalus,51883
aspidites ramsayi,461326
astronotus ocellatus,50733
astyanax mexicanus,7994
atelerix albiventris,9368
ateles belzebuth,9507
ateles chamek,118643
ateles fusciceps,9508
ateles geoffroyi,9509
ateles hybridus,129801
ateles paniscus,9510
athene noctua,126797
atheris squamigera,110225
atilax paludinosus,210642
axis axis,30531
aythya affinis,189533
aythya americana,30385
aythya baeri,1177618
aythya collaris,189535
aythya ferina,219593
aythya fuligula,219594
aythya marila,189534
aythya nyroca,197939
aythya valisineria,110915
babyrousa babyrussa,41806
baeolophus bicolor,88114
baeolophus inornatus,142467
baiomys musculus,213557
baiomys taylori,56219
balaena mysticetus,27602
balaenoptera acutorostrata,9767
balaenoptera physalus,9770
balearica pavonina,30414
balearica regulorum,925459
balionycteris maculata,77229
bandicota bengalensis,69079
bandicota indica,456472
bandicota savilei,456473
banjos banjos,490309
barbastella barbastellus,59449
barbus barbus,40830
barnardius zonarius,309859
basileuterus culicivorus,85526
bassariscus astutus,55047
bathilda ruficauda,247737
berylmys bowersi,83759
bettongia penicillata,69259
bison bison,9901
bison bonasus,9902
bitis atropos,110196
bitis gabonica,8694
bitis nasicornis,8695
blanus cinereus,227091
blarina brevicauda,9387
blarina carolinensis,183658
blarina hylophaga,183659
blastocerus dichotomus,248133
blicca bjoerkna,58317
boa constrictor,8574
boa imperator,401042
boiga irregularis,92519
bolborhynchus lineola,211877
boleophthalmus pectinirostris,150288
bombycilla cedrorum,161648
bonasa umbellus,9000
boops boops,36219
bos frontalis,30520
bos gaurus,9904
bos grunniens,30521
bos indicus,9915
bos javanicus,9906
bos primigenius,9909
bos taurus,9913
boselaphus tragocamelus,9917
botaurus stellaris,188376
brachymystax lenok,62067
brachyteles arachnoides,30594
bradypus tridactylus,9354
bradypus variegatus,9355
branta bernicla,184712
branta canadensis,8853
branta hutchinsii,371860
branta leucopsis,184711
branta ruficollis,184715
branta sandvicensis,56282
broadleysaurus major,174280
brotogeris tirica,671078
bubalus bubalis,89462
bubalus carabanensis,346063
bubo bubo,30461
bubo scandiacus,371907
bubo sumatranus,748877
bubo virginianus,56268
bubulcus ibis,110668
bucephala albeola,279934
bucephala clangula,107022
budorcas taxicolor,37181
bufo bufo,8384
bufo gargarizans,30331
bufo spinosus,655841
bunomys penitus,1330375
burhinus grallarius,585466
burhinus oedicnemus,85105
butastur indicus,335207
buteo brachyurus,223853
buteo buteo,30397
buteo jamaicensis,56263
buteo japonicus,224669
buteo lagopus,115229
buteo lineatus,223475
buteo regalis,223441
buteo rufinus,115134
buteo rufofuscus,223437
buteo swainsoni,156757
buteogallus meridionalis,223496
butorides striata,433628
butorides virescens,110671
cacajao melanocephalus,70825
cacajao rubicundus,70927
cacatua alba,141836
cacatua ducorpsii,141834
cacatua galerita,141274
cacatua goffiniana,12983
cacatua haematuropygia,141837
cacatua moluccensis,136504
cacatua ophthalmica,141835
cacatua pastinator,986097
cacatua sanguinea,274074
cacatua sulphurea,141271
cacatua tenuirostris,1344800
cairina moschata,8855
calandrella cinerea,1364912
calidris acuminata,192723
calidris alba,279936
calidris alpina,8919
calidris canutus,227173
calidris ferruginea,217133
calidris fuscicollis,279940
calidris mauri,279941
calidris minuta,670340
calidris minutilla,279935
calidris ptilocnemis,217132
calidris pusilla,279961
calidris ruficollis,272047
callicebus personatus,70814
callimico goeldii,9495
callionymus kaianus,435136
calliope calliope,229100
callithrix geoffroyi,52231
callithrix jacchus,9483
callithrix penicillata,57378
callocephalon fimbriatum,986101
callonetta leucophrys,75871
callorhinus ursinus,34884
callosciurus erythraeus,64677
callosciurus finlaysonii,127500
callosciurus notatus,64678
callosciurus prevostii,64676
caloenas nicobarica,187106
calomys callidus,414451
calomys callosus,56210
calomys fecundus,160455
calomys laucha,56211
calomys musculinus,56212
calomys tener,162310
calotes versicolor,48253
calotriton asper,30374
caluromys philander,70610
calypte anna,9244
calypte costae,371909
calyptorhynchus banksii,35551
calyptorhynchus lathami,986098
camarhynchus pallidus,48878
camelus bactrianus,9837
camelus dromedarius,9838
canis adustus,68723
canis aureus,68724
canis latrans,9614
canis lupus,9612
canis mesomelas,68725
canis simensis,32534
canthigaster rivulata,264151
capra aegagrus,9923
capra caucasica,72540
capra hircus,9925
capra ibex,72542
capra nubiana,72543
capra pyrenaica,80419
capra sibirica,72544
capreolus capreolus,9858
capricornis crispus,9966
caprimulgus europaeus,111811
caracal caracal,61394
caracara plancus,8951
carangoides armatus,181460
carangoides equula,274469
carassius auratus,7957
carassius carassius,217509
carassius gibelio,101364
cardinalis cardinalis,98964
cardioderma cor,270764
carduelis carduelis,37600
caretta caretta,8467
carollia brevicauda,138695
carollia perspicillata,40233
carollia sowelli,208969
carpodacus erythrinus,175930
carpodacus roseus,175933
carpodacus sibiricus,2713617
castor canadensis,51338
castor fiber,10185
cathartes aura,43455
catharus fuscescens,159581
catharus guttatus,9185
catharus ustulatus,91951
catostomus commersonii,7971
cavia porcellus,10141
cebuella pygmaea,9493
cebus albifrons,9514
cebus capucinus,9516
cebus imitator,2715852
cecropis daurica,317158
centroberyx rubricaudus,990671
centrochelys sulcata,1540822
centropristis striata,184440
cephalopholis argus,309930
cephalopholis boenak,91743
cephalopholis spiloparaea,1146960
cephalopholis urodeta,160709
cephalophus rufilatus,129230
cerastes cerastes,8697
ceratotherium simum,9807
cercocebus agilis,255237
cercocebus atys,9531
cercocebus torquatus,9530
cercopithecus albogularis,867370
cercopithecus ascanius,36223
cercopithecus campbelli,303588
cercopithecus cephus,9535
cercopithecus denti,1137511
cercopithecus diana,36224
cercopithecus erythrotis,167130
cercopithecus hamlyni,9536
cercopithecus kandti,1137481
cercopithecus mitis,36225
cercopithecus mona,36226
cercopithecus neglectus,36227
cercopithecus nictitans,36228
cercopithecus pogonias,102108
cercopithecus wolfi,263448
cerdocyon thous,9620
cervus canadensis,1574408
cervus elaphus,9860
cervus nippon,9863
chaerephon leucogaster,556902
chaerephon plicatus,478698
chaerephon pumilus,242384
chaerephon pusillus,797724
chaetodipus hispidus,38665
chaetodon bennetti,466113
chaetura pelagica,8897
chaeturichthys stigmatias,1124596
chalinolobus gouldii,258889
chalinolobus morio,50353
chamaeleo calyptratus,179908
channa argus,215402
channa lucius,64146
channa micropeltes,64149
channa striata,64152
chanodichthys erythropterus,933992
chanos chanos,29144
charadrius melodus,279942
charadrius ruficapillus,50399
chasiempis sandwichensis,291285
chauna torquata,30388
cheilinus trilobatus,290113
cheilopogon heterurus,546515
chelidonichthys cuculus,426094
chelidonichthys lucerna,2576622
chelon auratus,48191
chelon labrosus,48171
chelonia mydas,8469
chelonoidis carbonarius,50047
chelydra serpentina,8475
chenonetta jubata,45644
chersina angulata,286001
chilabothrus inornatus,51747
chinchilla lanigera,34839
chlamydotis macqueenii,187382
chlamydotis undulata,172680
chlidonias hybrida,297805
chlidonias leucopterus,297806
chloebia gouldiae,44316
chloephaga picta,8861
chloephaga poliocephala,541009
chloris chloris,37601
chlorocebus aethiops,9534
chlorocebus cynosuros,460675
chlorocebus pygerythrus,60710
chlorocebus sabaeus,60711
chlorocebus tantalus,60712
chlorodrepanis virens,64799
choerodon azurio,193513
choloepus didactylus,27675
choloepus hoffmanni,9358
chroicocephalus brunnicephalus,2772041
chroicocephalus cirrocephalus,1192863
chroicocephalus genei,1569666
chroicocephalus maculipennis,287016
chroicocephalus novaehollandiae,2547444
chroicocephalus ridibundus,1192867
chrysocyon brachyurus,68728
chrysolophus amherstiae,9088
chrysolophus pictus,9089
ciconia boyciana,52775
ciconia ciconia,8928
cinclus cinclus,127875
circus aeruginosus,8964
circus cyaneus,43466
civettictis civetta,94186
clanga pomarina,2675520
clangula hyemalis,197941
cleithracara maronii,172537
clupanodon thrissa,403224
clupea harengus,7950
clupea pallasii,30724
coccothraustes coccothraustes,37609
coelorinchus multispinulosus,390691
coendou prehensilis,187985
coilia mystus,286537
colaptes auratus,51355
colaptes campestris,555237
coleura afra,907075
coleura kibomalandy,1244808
colinus virginianus,9014
colobus angolensis,54131
colobus guereza,33548
colobus polykomos,9572
coloeus monedula,30423
columba guinea,135627
columba livia,8932
columba palumbus,8934
columba pulchricollis,177143
conepatus leuconotus,30543
conger japonicus,86968
connochaetes taurinus,9927
conopophaga aurita,237657
contopus sordidulus,183522
copsychus saularis,343929
coracias garrulus,188338
coracopsis vasa,176022
coragyps atratus,33614
corallus annulatus,51860
corallus caninus,51861
corallus hortulanus,709348
cordylus tropidosternum,126612
coregonus autumnalis,27773
coregonus lavaretus,59291
coregonus migratorius,884168
corvus brachyrhynchos,85066
corvus caurinus,279967
corvus corax,56781
corvus cornix,181096
corvus corone,30422
corvus coronoides,108826
corvus frugilegus,75140
corvus hawaiiensis,134902
corvus macrorhynchos,36249
corvus ossifragus,349685
corvus splendens,701737
corynorhinus rafinesquii,27674
corynorhinus townsendii,124745
coryphospingus pileatus,664758
corythornis cristatus,85095
coscoroba coscoroba,8863
cottocomephorus grewingki,57734
coturnix coturnix,9091
coturnix japonica,93934
cracticus torquatus,1120791
craterocephalus stercusmuscarum,69135
craugastor ranoides,228432
crax fasciolata,84988
cricetomys emini,107265
cricetomys gambianus,10085
cricetulus barabensis,329629
cricetulus griseus,10029
cricetulus longicaudatus,10030
cricetulus migratorius,10032
cricetus cricetus,10034
crithagra mozambica,1892170
crocidura attenuata,167044
crocidura douceti,214441
crocidura dracula,2050024
crocidura goliath,148970
crocidura grandiceps,148971
crocidura hirta,214444
crocidura lasiura,167043
crocidura leucodon,109474
crocidura littoralis,214445
crocidura luna,641488
crocidura montis,516697
crocidura obscurior,148977
crocidura olivieri,214449
crocidura russula,36802
crocidura shantungensis,183721
crocidura theresae,361457
crocodilurus amazonicus,420543
crocodylus johnsoni,184234
crocodylus moreletii,184237
crocodylus niloticus,8501
crocodylus porosus,8502
crocodylus siamensis,68455
crocuta crocuta,9678
cromileptes altivelis,304459
crossoptilon auritum,9096
crotalus atrox,8730
crotalus catalinensis,125866
crotalus cerastes,8746
crotalus durissus,8731
crotalus horridus,35024
crotalus lepidus,44709
crotalus mitchellii,384065
crotalus molossus,8733
crotalus scutulatus,8737
crotophaga ani,103947
cryptoblepharus virgatus,2058948
ctenodactylus gundi,10166
ctenolabrus rupestris,171735
ctenopharyngodon idella,7959
ctenophorus nuchalis,116115
cuniculus paca,108852
curruca curruca,43163
cyanistes caeruleus,156563
cyanocitta cristata,28727
cyanoliseus patagonus,309862
cyanopica cyanus,193059
cyanoramphus auriceps,114432
cyanoramphus novaezelandiae,114435
cyanoramphus saisseti,2778878
cyclopterus lumpus,8103
cygnus atratus,8868
cygnus bewickii,541010
cygnus buccinator,48397
cygnus columbianus,110926
cygnus cygnus,219595
cygnus melancoryphus,41691
cygnus olor,8869
cymatogaster aggregata,50794
cynictis penicillata,41010
cynoglossus semilaevis,244447
cynomops abrasus,748910
cynomops planirostris,409018
cynomys gunnisoni,45479
cynomys ludovicianus,45480
cynops orientalis,137245
cynopterus brachyotis,58060
cynopterus horsfieldii,298109
cynopterus sphinx,9400
cyprinus carpio,7962
cyprinus rubrofuscus,1221224
cystophora cristata,39293
dacelo novaeguineae,8939
dama dama,30532
damaliscus lunatus,9929
danio rerio,7955
dasymys rufulus,121564
dasypeltis atra,186579
dasypterus ega,258928
dasypterus intermedius,592573
dasypterus xanthinus,72131
dasypus novemcinctus,9361
dasyuroides byrnei,32544
decapterus kurroides,146142
decapterus macarellus,146143
decapterus macrosoma,166264
decapterus russelli,146144
delphinapterus leucas,9749
delphinus capensis,103584
delphinus delphis,9728
dendroaspis jamesoni,8623
dendroaspis viridis,8621
dendrocopos leucotos,81522
dendrocopos major,137523
dendrocygna autumnalis,8873
dendrocygna javanica,60182
dendrocygna viduata,8876
deomys ferrugineus,106343
dephomys defua,1001553
dermochelys coriacea,27794
deroptyus accipitrinus,51904
desmodillus auricularis,298896
desmodus rotundus,9430
desmognathus conanti,52099
desmognathus imitator,52101
desmognathus monticola,52103
desmognathus ocoee,179530
desmognathus quadramaculatus,52105
desmognathus santeetlah,52106
diaemus youngi,148087
dicentrarchus labrax,13489
diceros bicornis,9805
didelphis albiventris,42716
didelphis aurita,85694
didelphis marsupialis,9268
diomedea exulans,46550
diopsittaca nobilis,178888
diphylla ecaudata,148089
diploderma splendidum,118209
diplodus sargus,38941
diplodus vulgaris,87756
dipodillus dasyurus,723804
dipus sagitta,73863
ditrema temminckii,83878
dobsonia moluccensis,42147
dopasia gracilis,182351
dorosoma cepedianum,336262
doryrhina cyclops,249021
dracaena guianensis,420545
dromaius novaehollandiae,8790
drymotoxeres pucheranii,761979
dryomys nitedula,55145
dryophytes cinereus,8422
dumetella carolinensis,111981
duttaphrynus melanostictus,30335
dyacopterus spadiceus,326081
echelus uropterus,913735
echinosorex gymnura,162630
eclectus roratus,176024
egretta garzetta,188379
eidolon dupreanum,58063
eidolon helvum,77214
elaphe taeniura,74398
elaphodus cephalophus,109298
elaphurus davidianus,43332
elapsoidea loveridgei,1539979
eleginus gracilis,8047
elephas maximus,9783
eleutheronema tetradactylum,210139
eliurus majori,107283
eliurus minor,107284
eliurus tanala,107286
emberiza chrysophrys,504295
emberiza cioides,260902
emberiza elegans,160761
emberiza pusilla,74588
emberiza rustica,36250
emberiza spodocephala,125294
emberiza tristrami,267980
empidonax alnorum,209618
empidonax difficilis,183525
empidonax traillii,164674
emys blandingii,85613
enchelyopus cimbrius,81640
enhydra lutris,34882
enicognathus ferrugineus,1549141
eolophus roseicapilla,176039
eonycteris spelaea,58065
eophona migratoria,175941
eopsaltria australis,44318
eos bornea,274060
eos reticulata,176075
eothenomys cachinus,259049
eothenomys chinensis,577681
eothenomys custos,259050
eothenomys eleusis,259053
eothenomys eva,870527
eothenomys inez,870526
eothenomys melanogaster,82468
eothenomys miletus,259054
epalzeorhynchos frenatus,699554
epalzeorhynchos kalopterus,699555
epinephelus aeneus,179536
epinephelus akaara,215347
epinephelus areolatus,160715
epinephelus awoara,152218
epinephelus coioides,94232
epinephelus costae,309632
epinephelus fasciatus,160718
epinephelus fuscoguttatus,293821
epinephelus fuscoguttatus x epinephelus lanceolatus,1074816
epinephelus fuscoguttatus x epinephelus polyphekadion,2528762
epinephelus lanceolatus,310571
epinephelus malabaricus,162300
epinephelus marginatus,179535
epinephelus moara x epinephelus lanceolatus,1849795
epinephelus morio,153620
epinephelus quoyanus,308564
epinephelus tauvina,203262
episoriculus leucops,862700
epomophorus gambianus,372077
epomophorus labiatus,903567
epomophorus wahlbergi,58067
epomops franqueti,77231
eptatretus burgeri,7764
eptesicus brasiliensis,177183
eptesicus diminutus,159320
eptesicus furinalis,124746
eptesicus fuscus,29078
eptesicus hottentotus,258906
eptesicus isabellinus,502802
eptesicus japonensis,2080586
eptesicus nilssonii,59451
eptesicus regulus,138978
eptesicus serotinus,59452
equus asinus,9793
equus asinus x caballus,319699
equus burchellii,9790
equus caballus,9796
equus caballus x asinus,1050200
equus ferus,1114792
equus grevyi,9792
equus hemionus,9794
equus kiang,94398
equus przewalskii,9798
equus zebra,9791
erethizon dorsatum,34844
eretmochelys imbricata,27787
erinaceus amurensis,757341
erinaceus europaeus,9365
erinaceus roumanicus,1052165
erithacus rubecula,37610
erythrocebus patas,9538
esox lucius,8010
esox masquinongy,126735
estrilda melpoda,247542
estrilda troglodytes,247541
etheostoma fonticola,641303
etroplus canarensis,302778
etroplus suratensis,238232
eubalaena australis,160595
eubleekeria splendens,218808
euderma maculatum,153291
eudocimus albus,371913
eudorcas thomsonii,69308
eudromia elegans,8805
eudyptula minor,37083
eulemur coronatus,13514
eulemur macaco,30602
eulemur rufifrons,859984
eumetopias jubatus,34886
eumops auripendulus,124747
eumops bonariensis,649740
eumops glaucinus,27619
eumops patagonicus,1115866
eumops perotis,27620
eunectes murinus,51876
eunymphicus cornutus,119403
euphagus cyanocephalus,84817
euplectes afer,229097
eupodotis senegalensis,89385
euprepiophis mandarinus,74365
eupsittula aurea,51898
eurillas virens,1743266
eurycea wilderae,52111
eutrigla gurnardus,426098
eviota zebrina,1459826
evynnis cardinalis,497151
evynnis tumifrons,119711
falco cherrug,345164
falco columbarius,8953
falco fasciinucha,453957
falco femoralis,56349
falco mexicanus,279964
falco naumanni,148594
