RON,S.ZORB.PDT_3002.DACA,S.ZORB.PDT_3502.DACA,S.ZORB.TC_5005.PV,S.ZORB.LI_9102.DACA,S.ZORB.SIS_TE_2802,S.ZORB.FC_1203.PV,S.ZORB.TE_5202.PV,S.ZORB.PDT_3602.DACA,Raw_RON,S.ZORB.TC_1606.PV,S.ZORB.FT_3001.DACA,S.ZORB.PDT_1004.DACA,S.ZORB.AT.0010.DACA.PV,S.ZORB.TE_9301.PV,S.ZORB.LT_1301.DACA,S.ZORB.FT_5101.PV,S.ZORB.TE_1608.PV,S.ZORB.FT_5201.PV,S.ZORB.TE_2501.DACA,S.ZORB.AT_6201.DACA,S.ZORB.PC_2401.DACA,S.ZORB.FT_1003.PV,JT,S.ZORB.BS_AT_2402.PV,S.ZORB.FC_5001.DACA,S.ZORB.PT_6005.DACA,S.ZORB.TE_1601.PV,S.ZORB.FT_1006.DACA.PV,S.ZORB.LT_2901.DACA
87.92,12.7939,12.6064,128.5757,51.377,282.6068,12.6549,37.0864,0.3052,89.1,411.9423,81.8017,26.9449,0.5434,192.5208,-1.2733,576.4619,448.8515,127.8874,202.6156,-40.3752,1.5544,46.7028,2.61,0.1822,1749.7563,-0.3163,364.9656,6223.526,15.7985
87.02,12.0998,12.8082,128.5823,64.8786,277.6832,12.137,37.0746,0.2612,88,411.9741,73.5373,26.6768,0.555,193.3557,-1.2742,704.501,454.6362,127.864,194.4696,-40.6439,1.5497,46.9218,1.96,0.1877,1904.9267,-0.2543,364.8305,6226.3645,14.6779
87.12,12.7647,12.8676,128.4865,33.9949,275.5189,12.0901,37.1291,0.3556,88.7,412.0391,78.5592,26.4717,0.5455,193.9399,-1.2785,704.2689,451.2072,129.2369,198.0813,-40.677,1.5646,48.5239,2.41,0.1893,1772.8075,-0.2857,365.3843,6246.7784,13.6612
87.72,15.4267,12.2306,126.7428,81.8488,284.6047,12.1882,36.6128,0.3424,89.3,412.0151,106.5204,28.8812,0.5465,191.0364,-1.2753,605.1618,454.6717,128.1171,191.0263,-40.6724,1.3314,55.1585,2.11,0.1855,1651.4147,-0.2395,363.9399,6389.4313,8.9557
85.82,12.6284,11.9431,126.765,71.2052,281.5904,12.1905,36.0078,0.2369,87.6,407.4618,93.6335,26.548,0.5448,193.9381,-1.2773,537.8288,440.6328,131.9042,206.1894,-40.6027,1.5329,52.3614,1.8,0.1838,1626.0091,-0.4075,361.9604,6398.0067,5.8869
85.72,13.8932,12.4106,127.2006,42.1541,271.888,11.7059,35.9498,0.2414,86.9,410.4184,104.5597,22.4521,0.5402,195.1273,-1.2694,619.6558,446.8034,142.0298,189.8395,-40.6174,1.5078,50.0544,2.12,0.1848,1764.1259,-0.331,364.1792,6303.5283,4.6089
85.72,10.2823,12.3009,126.2641,28.5321,266.9551,8.3891,35.6926,0.2122,87.2,408.3578,71.1197,29.867,0.5471,198.3203,-1.272,760.9293,448.406,55.6873,200.4885,-40.4123,1.5483,51.4535,1.84,0.1872,2771.2359,-0.3279,362.2575,6249.0524,2.2578
89.62,6.4792,11.7619,129.7102,27.7557,285.58,12.1139,36.984,0.3519,90.6,407.7742,33.0504,23.7271,0.5445,194.8102,-0.5764,773.533,450.2106,127.996,193.5438,-40.568,1.5711,48.3261,2.02,0.182,2197.1063,-0.3194,358.5506,6267.6362,-0.0028
88.82,10.4365,11.5506,129.1788,26.8649,284.0217,11.8486,35.1706,0.3337,90,412.5616,75.5468,24.2441,0.5558,204.4961,-0.6763,734.9411,453.5945,127.5694,200.122,-40.456,1.4844,48.7068,2.11,0.1812,1978.5432,-0.2608,363.8639,6371.5888,0.7067
89.32,11.3135,11.3049,129.245,72.2685,281.9475,12.0877,35.2161,0.4282,90.5,407.6298,84.0366,24.3482,0.5414,214.3923,-1.2669,747.5146,441.8546,124.271,197.8863,-40.5954,1.5742,48.8555,2.27,0.1876,2179.3645,-0.3485,362.3954,6341.6143,0.0136
89.52,10.3403,10.7826,128.6981,42.9527,284.446,11.8509,35.5185,0.2263,90.5,403.246,71.6761,22.7116,0.5381,197.9818,-1.2722,713.8091,439.6101,135.7704,192.432,-40.5924,1.4699,53.7297,2.02,0.1838,2069.663,-0.3285,356.9704,6354.4076,0.0004
88.52,8.8159,11.0871,128.9812,47.6914,283.3318,12.3463,36.3791,0.2383,90.1,412.8811,53.6023,22.4658,0.5391,202.4539,-1.2749,833.998,448.4977,135.4876,205.796,-40.4267,1.5805,52.4148,2.39,0.1865,2040.2874,-0.3138,366.7485,6496.8601,-0.0023
89.32,10.6663,11.3616,129.2162,77.3599,281.3431,11.8527,35.0022,0.4443,90.4,410.772,78.1994,24.3336,0.5468,227.282,-1.2648,796.8734,446.9568,124.9712,202.9163,-40.5332,1.491,47.8021,2.39,0.1834,2220.0333,-0.3105,364.5377,6348.1227,37.2409
90.22,9.5574,11.5479,129.2963,54.2215,282.3016,12.2142,33.2548,0.3781,91.6,414.3646,67.8347,23.8187,0.5405,225.0801,-1.2614,802.7129,451.1717,126.7117,199.6335,-40.5455,1.3143,48.3372,1.85,0.1804,2228.8012,-0.3238,367.8185,6496.3326,36.5572
90.2,12.5311,11.4987,128.2852,66.7596,288.1929,12.1762,33.8433,0.2156,91.5,411.3582,98.8527,23.6936,0.5629,214.0883,-1.2716,980.0485,451.6663,123.7186,203.0972,-40.5258,1.3712,47.2412,1.87,0.1838,2483.037,-0.2886,363.6813,5766.1767,36.4649
90.2,10.4533,11.7879,128.7166,60.2075,280.8013,11.9415,33.5845,0.2951,91.5,408.8634,82.1387,23.8884,0.5413,208.1307,-1.2716,829.6919,444.7526,125.151,191.8593,-40.58,1.5809,47.5836,1.94,0.1818,2379.3855,-0.3546,363.4584,5568.5071,35.9971
90.2,7.4349,11.6198,128.9195,38.2091,282.6877,11.9944,33.9525,0.4078,91.3,410.5384,55.0005,23.5031,0.5348,217.0745,-0.5929,870.2146,447.2854,124.1389,182.7905,-40.559,1.598,48.5812,1.98,0.1861,2385.5555,-0.3397,365.2437,5560.656,35.5534
90.3,10.1693,11.7042,129.1269,82.7553,286.4026,11.8235,34.2289,0.5381,91.5,405.8101,80.7324,23.4409,0.547,220.2625,-1.265,799.0014,437.9078,122.4086,202.6174,-40.5471,1.5236,47.6425,1.78,0.1844,1916.6618,-0.4173,362.4427,2856.1748,34.688
90.1,11.4943,11.6575,127.6379,32.9084,271.1981,11.114,33.4405,0.4317,91.3,405.8209,95.3711,23.6871,0.5494,195.7821,-1.1883,703.6161,439.2443,125.5635,179.9167,-40.5895,1.5622,48.1439,1.74,0.19,2176.1403,-0.3595,360.7985,5669.7012,33.9685
89.9,10.4068,11.7269,127.79,54.5569,275.9201,12.0754,33.2276,0.2322,91.1,411.1107,83.9817,23.6217,0.547,212.5422,-1.2608,836.3314,442.5778,125.0852,199.9167,-40.4509,1.5639,47.8982,1.92,0.1824,2314.1026,-0.4001,367.4846,5696.1959,33.1076
89.7,10.011,11.7895,129.3834,29.3797,272.5489,11.7154,34.2027,0.2629,91,411.9039,80.0156,23.2415,0.5387,202.2696,-1.2563,814.9999,446.6192,124.5887,203.8287,-40.7546,1.6003,45.9809,1.73,0.1832,2556.0351,-0.3474,366.9869,5702.4041,30.2342
89.92,7.132,13.9614,129.3423,52.4456,284.4902,12.0589,36.3103,0.1921,91.7,414.1153,47.5356,22.8202,0.5471,201.9365,-1.269,858.0245,450.2016,124.4748,210.0127,-40.5847,1.5173,45.9233,1.97,0.1839,2295.9779,-0.3668,368.8768,6329.8894,28.9211
90.42,7.8463,11.1218,128.0125,51.5434,271.6392,11.2905,35.2092,0.4835,91.6,409.7218,79.0007,23.6358,0.552,196.16,-0.9019,645.2252,438.9572,120.5633,205.1193,-40.6982,1.3154,46.9717,2.19,0.1865,2078.565,-0.4246,365.954,6125.3206,25.669
90.12,8.5776,11.1814,129.1197,57.8539,272.355,11.3307,33.8272,0.2383,91.4,409.8501,87.1425,22.7797,0.5334,199.6866,-0.9366,596.0696,433.1019,124.3691,215.9522,-40.5509,1.3661,45.4631,2.26,0.1821,2216.3106,-0.4829,367.5802,6016.4323,24.7983
90.12,8.9691,11.9043,129.8977,48.6103,282.0879,10.9627,35.6239,0.235,91.2,410.2612,86.791,22.5211,0.548,207.7299,-1.2669,744.7754,444.1296,128.0322,211.9426,-40.8345,1.5724,48.9935,2.35,0.1861,2205.7071,-0.3501,363.6769,6131.976,19.9578
89.82,6.9648,11.148,129.4774,70.0266,287.6557,11.2389,34.5812,0.3072,91.2,411.8961,67.6983,23.0736,0.541,207.0844,-1.2034,846.6257,452.0761,123.7175,216.0226,-40.5795,1.2813,49.4583,1.87,0.1817,2374.4985,-0.2516,365.174,6134.1901,18.474
89.72,7.5896,11.0586,128.6333,60.2304,290.3709,11.4581,34.7589,0.3595,91,411.755,77.7375,21.8798,0.5343,209.4992,-0.8183,948.7491,453.1522,133.6599,214.4784,-40.4707,1.5642,59.8954,1.98,0.1838,2229.0682,-0.2052,365.5423,6045.8259,15.5535
89.52,8.0337,12.0385,128.723,80.2208,286.6484,11.7627,35.8329,0.3721,91.2,414.6598,86.137,22.2647,0.5389,203.9371,-0.94,784.2109,454.3449,124.972,219.495,-40.6935,1.4189,49.9413,1.65,0.1826,2115.87,-0.2311,368.4267,6016.5593,13.5891
88.92,8.1414,11.2539,128.878,25.9309,274.5711,11.219,37.1495,0.3084,90.6,409.3902,88.0132,20.9385,0.5477,191.2984,-1.0435,801.4051,441.9087,123.8654,208.3622,-40.7114,1.2474,46.2824,1.73,0.1826,2455.0138,-0.2952,365.0259,6165.1399,10.1397
89.92,8.6598,10.8806,128.0122,51.7492,276.2256,11.8831,34.5007,0.2705,91.2,413.4022,99.1729,20.6165,0.5452,189.0025,7.8061,808.0005,445.0349,123.4669,212.4209,-40.5637,1.5731,47.1603,1.88,0.178,2492.7943,-0.3777,367.8867,6073.2391,8.5323
89.2,10.2169,11.0523,128.644,43.7964,282.297,11.2707,36.5471,0.1921,90.5,407.5199,86.2694,20.9047,0.538,191.8185,-0.9789,823.6486,438.8596,122.1686,212.2725,-40.4681,1.5252,48.4883,1.69,0.1801,2438.0117,-0.4056,363.0666,5919.5293,6.9387
89.2,9.193,11.2423,129.0858,84.1073,273.6355,11.0821,35.2156,0.5697,90.4,407.6097,79.498,20.2772,0.563,193.0966,-0.5445,726.6611,435.4852,123.3001,208.7037,-40.5937,1.4813,46.3626,2.15,0.1813,2371.9023,-0.4269,363.9676,5981.4821,6.0459
89.5,10.3072,11.0598,125.0556,59.2494,287.5977,12.2087,34.9242,0.4869,90.9,410.3088,93.1662,16.049,0.542,183.0327,0.2259,889.639,441.8827,141.5522,213.0684,-40.5669,1.4535,51.4553,1.6,0.1839,2065.503,-0.3311,366.4828,5852.1666,-0.006
89.3,11.7974,11.3494,124.5925,65.1536,291.2041,11.8622,36.1807,0.1975,90.5,413.4294,99.3921,18.5094,0.5338,196.7446,-0.3714,1119.2342,459.6356,127.4106,207.214,-40.4392,1.3625,48.9385,2.22,0.1892,2063.6736,-0.165,365.8347,5951.7468,0.1276
89.72,10.8568,11.5338,124.3958,71.6952,287.194,11.675,36.6886,0.3861,91.3,407.0233,95.731,18.4101,0.5441,199.5151,-0.3209,1030.6815,442.7074,127.9732,205.4329,-40.517,1.411,51.0314,1.6,0.1817,2086.6447,-0.3058,362.366,6011.3096,114
89.7,6.4212,11.5789,124.7055,51.5757,284.2651,11.5794,35.1004,0.3244,91,414.2243,57.1207,15.6796,0.5416,183.0036,0.9406,826.2457,455.7837,143.9831,202.4574,-40.5059,1.5118,51.4885,3.39,0.1847,1934.8904,-0.164,368.4295,5693.6715,-0.009
89.76,8.4417,11.4367,117.5679,69.6329,288.5943,10.4729,35.061,0.4199,91,411.3292,74.6984,18.8438,0.5448,189.7792,1.2266,963.0054,447.4284,121.4996,214.6534,-40.6005,1.5081,50.6069,2.47,0.1831,1582.3098,-0.326,366.5428,39,0.0008
89.89,12.2857,11.7094,124.9073,49.6691,284.1995,11.1683,35.3225,0.3789,91.1,406.9193,111.1609,18.1277,0.5395,212.7118,-0.0366,756.7501,438.5982,125.9217,215.9454,-40.5607,1.5444,50.7389,1.55,0.1813,1792.1808,-0.3963,363.3902,4823.5524,35.5194
89.39,8.7056,10.9537,123.9514,31.5627,281.1302,11.2445,32.7139,0.4544,90.6,412.6788,84.6179,15.4973,0.5381,192.0511,3.5039,609.2896,443.6733,140.9598,220.1246,-40.7558,1.3971,51.4375,2.38,0.1844,1797.418,-0.332,367.9219,4897.0868,34.5954
89.69,10.0333,11.344,125.4436,25.9262,301.4087,11.3157,36.1479,0.307,90.8,410.7376,106.1931,16.0766,0.5368,203.2089,0.0403,810.02,449.331,134.5597,229.6332,-40.5384,1.3302,49.2171,1.71,0.1822,1855.9565,-0.2488,365.9741,4832.2169,32.5318
90.3,8.7776,11.1585,124.9361,78.1309,293.9232,11.7121,37.1994,0.205,91.4,412.0535,100.3358,15.8298,0.531,180.412,-0.1571,681.428,449.2145,135.4498,207.7097,-40.5326,1.2296,49.9087,2.41,0.181,1830.8818,-0.3479,365.9887,5046.1281,27.4862
89,7.4011,11.0987,125.3503,62.1034,288.0891,11.2763,37.0728,0.2199,90.6,408.5483,83.7698,18.1296,0.5534,203.7689,-0.2257,725.4642,433.5232,125.8748,221.4198,-40.5555,1.3863,51.9302,2.65,0.1852,1843.1464,-0.293,364.6249,5473.3038,22.9874
89.2,5.7815,10.9657,122.6122,58.0418,280.1458,10.7785,35.1769,0.4143,90.3,405.785,71.2383,17.9816,0.5351,187.0002,0.0814,585.507,422.6818,127.3129,224.169,-40.5789,1.439,51.9587,1.84,0.1775,1836.2874,-0.3447,364.0389,5723.3639,20.2446
89.6,10.6161,10.8118,124.9376,52.3809,289.5154,11.2038,36.5406,0.3729,90.8,411.5715,134.9324,14.716,0.5337,186.3646,-0.2373,711.4613,438.0532,143.8242,222.5676,-40.5645,1.3259,51.8827,2.36,0.1831,1805.3815,-0.2623,367.2144,5806.7674,18.3979
88.9,10.8221,11.1043,125.3663,24.122,290.3182,11.26,35.6162,0.4168,90.1,410.8444,140.3268,15.5456,0.535,194.88,3.6716,751.1272,434.6956,138.1352,231.3296,-40.4802,1.4226,51.7352,3.02,0.1798,1879.5446,-0.2869,367.0288,5759.276,11.483
88.9,7.9637,10.8722,124.8623,75.9244,292.4298,11.397,35.2308,0.1966,90.2,408.6165,105.6452,15.5793,0.5343,187.6776,-0.0927,780.8955,435.9747,144.0455,225.0483,-40.5624,1.3886,59.5068,2.17,0.1811,1886.198,-0.2919,365.1703,5864.329,9.5495
89,6.342,11.0406,125.3572,43.1225,281.6888,11.1962,35.9236,0.3689,90.1,409.2868,109.8263,15.7439,0.5386,189.4957,0.1458,716.8806,430.5016,143.8023,227.404,-40.6172,1.4396,61.7423,2.67,0.1835,1961.5625,-0.3038,366.5745,5836.403,6.9251
89,7.5299,11.0547,125.3132,62.0091,284.259,11.4601,35.1006,0.449,90.1,408.84,137.9888,14.6932,0.5379,193.4729,1.7554,683.4688,431.0071,142.0301,224.2132,-40.609,1.4253,56.3056,2.21,0.1786,1953.5082,-0.3002,365.6063,5886.3105,5.9572
88.5,7.2439,10.853,126.2659,30.0525,277.4756,10.9804,34.7534,0.4823,89.6,410.4158,138.0792,16.6678,0.5399,186.8571,1.4121,816.2434,431.0485,128.0459,225.7381,-40.5252,1.4762,55.2897,2.32,0.1785,2206.6397,-0.32,368.0523,5712.9216,3.9157
88.7,7.17,11.1348,126.1625,52.2563,276.9895,10.9261,35.1651,0.5525,89.6,407.4636,142.2889,14.0142,0.5347,190.1768,3.9021,780.3499,429.1444,138.1916,222.9358,-40.5177,1.3376,50.7076,2.08,0.1874,2491.4374,-0.3066,365.067,5811.7715,3.0944
88.3,6.7679,11.0575,126.0056,39.4939,274.0636,11.6005,35.802,0.4595,89.7,408.6906,136.9673,12.1344,0.5499,190.4553,0.3746,789.3278,428.6584,141.7253,227.34,-40.5559,1.4299,49.8122,3.09,0.1831,2286.0777,-0.3119,366.3277,5738.6769,1.8868
87.8,6.8017,10.9151,123.3313,43.0392,282.1192,11.2317,36.6921,0.1855,89.4,403.8493,142.9024,14.375,0.5427,197.3338,0.7608,1010.4855,422.5563,126.2368,229.417,-40.4486,1.3834,48.5206,1.98,0.1799,2639.4208,-0.3474,362.3359,5634.0697,0.5325
87.59,6.176,11.6591,124.7033,65.4204,271.2096,11.0745,34.6537,0.4421,89.1,408.7446,134.958,12.5577,0.5355,193.2463,1.1997,823.2398,421.5808,139.7193,221.4705,-40.5516,1.419,49.3249,2.47,0.1835,2494.9084,-0.3636,367.5473,4574.8585,-0.0182
88.09,5.8075,12.022,124.659,52.7806,263.1876,11.2819,34.4525,0.4509,89.4,408.3889,133.7167,13.4624,0.5575,186.3764,6.7391,786.2083,414.9582,135.9969,225.3603,-40.9404,1.4103,50.5188,2.53,0.1933,2291.215,-0.4087,369.3962,4535.729,-0.016
87.89,5.9671,11.3884,125.1392,75.8629,282.2695,11.4019,36.0586,0.5237,89.2,406.8377,136.7685,13.9257,0.5323,189.492,0.7711,1061.524,423.5701,129.0106,240.7323,-40.5575,1.4365,49.0392,2.14,0.1881,2253.4624,-0.3516,366.3294,4618.1022,-0.014
87.39,5.9681,10.5578,125.492,43.2532,271.0897,10.9769,35.5883,0.5836,89.2,406.0222,142.6405,14.2477,0.5357,188.8745,0.2673,917.6108,417.1814,129.1784,234.7809,-40.6719,1.3263,49.1982,2.33,0.1821,2400.3337,-0.3827,365.7689,4537.5956,-0.0112
87.09,3.3764,10.7529,126.0514,66.3026,268.6706,11.6407,34.0233,0.5821,88.6,411.6102,126.8073,12.8218,0.5334,192.3646,0.4514,847.7004,433.011,138.0579,232.9903,-40.6268,1.446,51.2381,2.54,0.1965,2342.1308,-0.2708,369.6785,4449.7943,-0.0168
87.59,3.2631,11.1045,124.4036,59.3872,283.9011,10.8897,36.9179,0.4145,89.1,405.8781,123.1478,15.1082,0.5383,193.9735,0.0212,1120.4792,430.833,119.6388,238.5868,-40.5035,1.3748,49.4619,2.33,0.1838,2293.3499,-0.2618,364.3599,4605.1186,36.2956
87.59,3.0781,10.9546,125.1572,35.574,282.8449,11.049,36.7471,0.3643,89.3,409.1703,123.7819,13.195,0.5369,192.8148,-0.0883,1009.4133,432.659,133.1061,242.9347,-40.5217,1.3359,48.9323,1.65,0.1866,2267.4187,-0.2619,367.4083,4605.3506,35.667
87.59,2.5402,10.8611,125.7387,59.8436,281.6094,10.9642,34.6041,0.4978,88.4,411.0377,114.6168,12.1904,0.5409,189.3852,0.3441,855.4595,435.9615,141.9298,235.0609,-40.5351,1.2938,55.1345,2.15,0.1884,2049.949,-0.2461,368.8347,4614.7578,34.8005
87.09,2.1641,11.015,124.7461,83.7515,274.8558,10.8611,37.0113,0.3407,88.5,406.5943,88.8611,14.5528,0.5389,191.5574,0.0076,745.2431,426.3827,127.5329,235.4599,-40.5425,1.388,55.2305,2.48,0.1834,1989.3832,-0.2974,366.0511,4479.2029,34.2013
86.6,2.1957,10.5376,125.9195,41.8353,275.2549,11.8388,33.5014,0.6202,87.6,412.4729,96.2744,12.8605,0.5325,204.5459,0.9248,832.3937,439.679,144.1387,230.7687,-40.5673,1.2113,55.7299,2.21,0.1847,2039.6824,-0.2479,369.4906,5353.6042,33.092
85.1,1.8598,10.8404,118.8515,54.1383,271.3263,7.8207,34.6836,0.4135,85.3,407.2213,87.2064,16.2623,0.5424,205.3305,0.4737,737.8342,440.9247,62.0154,232.4528,-40.4824,1.1734,59.1659,2.45,0.1913,2482.2622,-0.222,363.0939,5252.5437,30.706
87.19,0.8434,10.8983,123.5155,29.4739,264.7676,10.2503,33.7379,0.5729,88.7,410.5686,32.9031,13.2294,0.5469,189.6187,0.3085,721.4271,423.2303,135.3746,226.942,-40.6649,1.225,56.405,2.49,0.1919,1948.3426,-0.3264,370.8239,4215.4241,29.2743
87.09,0.8539,10.9374,126.7083,66.2517,275.4411,11.0229,35.0107,0.5138,88.6,409.4144,30.4556,12.0803,0.5448,192.3344,0.9881,797.7049,427.4543,142.3367,235.8766,-40.4882,1.3696,55.9105,2.41,0.1818,2055.2371,-0.3069,368.7214,4359.4013,26.8017
87.49,0.8203,11.2856,125.0347,75.1866,269.8001,10.6627,37.6418,0.2587,88.7,404.1966,27.4484,12.184,0.5519,190.2071,-0.0067,743.8603,415.4238,142.3229,235.9228,-40.4301,1.2485,57.1269,2.45,0.1833,1962.3401,-0.3444,365.2785,4836.3294,24.2023
87.5,0.8304,11.2419,125.7055,43.4647,263.3662,10.7523,36.3726,0.5736,89,407.6581,30.5124,12.4109,0.5335,190.7082,0.2021,800.93,419.6385,143.4655,225.9107,-40.5272,1.2306,59.0041,2.51,0.1826,2052.5883,-0.3218,367.9012,5023.1895,22.3277
87.19,0.7607,10.9356,126.185,81.5553,262.2314,9.9798,36.6979,0.4814,88.4,404.1335,27.4872,11.299,0.5356,196.1404,-0.0903,743.425,413.4213,142.4339,228.8747,-40.4412,1.4626,51.4286,2.65,0.1833,2065.8924,-0.3358,364.8404,4966.7886,19.1096
87.3,4.1136,13.5064,125.7597,42.9317,276.9734,10.8077,33.8673,0.3649,88.7,409.8865,86.5067,11.0965,0.541,198.8758,-0.0704,866.8359,419.2573,137.9757,206.9352,-40.4759,1.1647,50.5343,1.88,0.189,2106.219,-0.3619,369.7167,5044.6436,17.7943
86.4,4.2648,13.2694,126.6314,46.7891,265.1374,9.8748,36.3134,0.4121,88.2,406.7428,93.3413,12.2035,0.5338,199.7819,0.743,774.1324,405.808,130.9765,203.8599,-40.4892,1.1479,51.9144,2.73,0.1834,2095.9377,-0.4224,367.8823,5151.3945,13.1901
87.1,4.2063,13.3997,126.4566,23.368,267.2779,10.9131,35.0711,0.3908,88.2,409.5043,94.1615,11.1935,0.5382,201.8278,0.5474,862.1163,408.5128,133.1206,207.293,-40.4756,1.0722,49.8288,2.73,0.1851,2273.834,-0.4217,370.6319,5090.6406,11.764
85.99,4.1247,14.2288,124.7578,64.7006,251.2622,8.807,32.1272,0.5586,87.8,406.1923,91.2263,12.211,0.5353,195.7048,4.0243,891.1619,404.159,124.5338,195.5592,-40.6059,1.2077,52.6752,2.24,0.1959,2591.5007,-0.4178,367.3822,4901.5314,7.2822
86.58,4.4422,14.0817,121.6944,44.0499,266.0035,7.4038,36.6826,0.4418,87.9,410.0344,93.4625,13.6514,0.5376,199.8587,0.0395,848.9397,425.2909,63.6633,217.125,-40.4652,0.8321,58.9142,2.53,0.1895,2369.7445,-0.3136,368.1232,2664.8405,5.4646
85.68,4.4105,14.3274,123.8289,47.6566,268.9248,6.3657,36.0226,0.5965,87.5,410.4649,94.0448,14.2011,0.5321,196.9458,0.251,968.2558,431.4955,54.8217,214.5973,-40.5123,1.0994,54.8457,2.4,0.189,2516.8633,-0.2853,367.3532,2653.675,3.8866
87.18,4.2348,14.4127,123.4078,30.0327,270.5632,5.4869,33.831,0.3918,88.6,410.8317,88.0108,8.3657,0.5397,198.5649,-0.3208,727.875,439.9155,58.2604,192.2076,-40.4714,1.2339,55.6428,1.55,0.1968,2051.4555,-0.1716,366.3854,2684.9831,-0.0139
87.68,4.237,14.6473,125.2527,56.891,281.1867,9.1395,34.3804,0.4334,89.1,410.1244,95.5929,11.6663,0.5364,201.2943,1.2266,972.4413,437.3859,51.9636,205.5314,-40.5428,1.0214,55.4179,1.89,0.1965,2067.4915,-0.4284,356.8764,2764.6936,-0.0183
88.48,4.1596,14.5032,128.7543,69.0449,266.4133,12.5062,32.4072,0.6252,89.8,405.614,96.7576,9.6177,0.5405,190.3456,4.1439,750.3917,438.9057,136.3714,186.9577,-40.9879,1.1002,57.6582,2.52,0.2048,1531.8232,-0.3713,354.4354,2658.9295,41.561
88.98,3.6137,13.9068,128.8762,84.5911,284.5383,12.9403,34.1666,0.2393,90.4,407.4808,83.328,11.0786,0.548,185.3027,4.0153,1102.717,453.9243,118.2899,211.1335,-40.4511,1.2045,55.0751,1.9,0.1956,1597.9648,-0.2914,355.4372,2788.4502,39.2183
88.08,3.4453,14.7324,127.2972,52.6468,265.3457,11.5249,33.7256,0.403,89.2,406.6629,80.1031,9.7716,0.5372,178.3921,0.1592,822.2875,441.8549,135.1119,200.0578,-40.6137,1.2176,58.8357,1.9,0.204,1587.8785,-0.3345,354.9833,2506.123,37.0475
88.18,0.5676,14.7125,128.4548,54.7901,283.1983,11.8187,31.5036,0.4018,89.4,407.3171,18.6303,11.1573,0.537,181.4237,-0.3553,867.9108,448.4895,118.7103,214.5716,-40.5416,1.262,52.2586,2.82,0.1986,1438.9853,-0.3285,355.2577,2617.9081,35.7435
88.38,4.1172,15.2879,129.9841,58.5835,293.3974,12.5867,34.6373,0.526,89.4,407.3435,102.4861,9.3005,0.5386,206.5666,-0.4,1055.8955,456.4092,134.5061,216.0914,-40.5372,1.2288,53.0691,1.9,0.2094,1492.7147,-0.2613,353.4092,2539.7225,33.4186
